,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
139,Sri Lanka,41.1,Hybrid,87,5.69,79.38,72.21,90.7,0,24.9,67.2,7.9,2.2,6.944,Asia,Buddhist,NA,2,3.6,0.658,30.6,103.7,20.4,14.3,0.599,72,210,75.73,86.7,UK,NA,Legislature and executive are locally elected,58.3,Approx 60%,Yes,5,Yes,Yes,6 or more members,52,47.28132386,1-3 parties,1-3 parties,1,Not member,5,6,0.414999992,Low,Medium,71.8,32,40,73.5,83.9,15,70.7,56.8,40,62.2,54.6,MidLow,91.9,0.0873,Low,Middle,Low,Mid,Low,4560,2,Low,34.4,40.2,Low GDP,1948,No,sri lanka,Not member,NA,4,Yes,NA,NA,0,NA,850,5.8,22.7,146,7.3,NA,NA,71.31608582,4.9,5.8,5.8,5.8,1931,1944 or before,0,100,Sri Lanka
140,Sudan,35.3,Authoritarian,153,2.54,56.71,54.18,61.1,486700,42.1,55.2,2.7,4.84,6.944,Africa,Muslim,NA,1.3,NA,0.379,20.3,104.1,43.2,40.1,0.708,106,211,55.42,94.2,UK,NA,NA,40.8,Approx 40%,No,1,No,No,single member,11,20.33096893,NA,NA,NA,Not member,1,0,0.714699984,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,0.0412,Low,Low,Low,Low,Low,2153,1,NA,NA,NA,Low GDP,1956,Yes,sudan,Not member,NA,-2,No,NA,Dictatorship,0,NA,46567,10.2,NA,75,5.5,NA,NA,36.22303009,NA,NA,NA,24.6,1964,After 1944,0,0,Sudan
141,Suriname,52.8,Part Democ,53,6.77,77.16,71.47,89.6,15190,26.4,67.3,6.3,1.95,0,Latin America/Caribbean,Other Christian,NA,3.6,NA,0.646,27.6,107.2,0.5,69.4,NA,NA,212,74.22,NA,Netherlands,NA,NA,87.5,Approx 90%,Yes,6,Yes,Yes,NA,NA,42.78959819,6-11 parties,6-11 parties,3,Not member,6.5,10,0.733200014,High,High,41,36,30,66.9,77.8,15,84.5,67.8,40,66.4,52.5,MidLow,3.9,0.2199,High,Middle,High,Mid,High,7506,2,NA,NA,NA,High GDP,1975,No,suriname,Not member,NA,5,Yes,NA,Presidential democ,1,NA,327,9.7,NA,4,0.1,NA,52.99,69.49550629,19.6,25.5,11.8,11.8,1948,After 1944,1,100,Suriname
142,Swaziland,50.7,Authoritarian,140,3.09,48.39,48.93,81.6,0,37.8,58.6,3.6,3.11,0,Africa,Other Christian,7.9,3.8,NA,0.498,19.3,101.2,1.2,21.4,0.668,93,214,48.66,NA,UK,NA,NA,40.8,Approx 40%,No,0,No,No,single member,27,36.17021282,NA,NA,NA,Not member,2,2,0.058200002,Low,Low,67.2,36,40,63.1,55.5,55,68.4,68.8,45,74.9,57.4,MidLow,5.8,0.1091,Low,Middle,Low,Mid,Low,4928,2,Medium,60.9,50.4,Low GDP,1968,No,swaziland,Not member,NA,-9,No,NA,Dictatorship,0,19.10000038,700,6.9,69.2,86,3.5,NA,NA,NA,NA,NA,NA,13.6,1968,After 1944,0,0,Swaziland
143,Sweden,25,Full Democ,2,9.73,83.51,78.78,99,4833,15.4,64.8,19.7,1.67,0,Europe,Other Christian,6.7,7.4,1.3,0.885,40.9,105.7,9.3,84.7,0.212,3,215,81.07,40.8,none,56.53510974,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,83,90.07092277,6-11 parties,6-11 parties,3,EU Member state,7,12,0.059999999,Low,Low,95.5,93,80,36.7,17.3,85,54.9,79.5,95,87.5,72.4,High,344.7,2.6929,High,High,High,High,High,37383,3,High,25,25,High GDP,1523,No,sweden,OECD Member state,High post-mat,10,Yes,High,Parliamentary democ,1,77.19999695,100,87.7,NA,89,0.2,<20%,80.6,83.18289185,45.3,47,44.7,44.7,1921,1944 or before,1,100,Sweden
144,Switzerland,33.7,Full Democ,6,9.09,84.05,78.24,99,3488,15.2,67.8,17,1.46,1.667,Europe,Catholic,5.3,6.4,0.9,0.874,41.9,105.1,7.6,73.6,0.228,4,216,81.07,38.2,none,56.55399453,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,>1 to 5 members,152,99.99999977,6-11 parties,6-11 parties,3,Not member,7,12,0.531400025,High,Medium,81.2,90,80,68.2,68.9,80,81.8,81.3,90,90,81.1,High,324.6,3.6687,High,High,High,High,High,42536,3,High,33.1,33.7,High GDP,1291,No,switzerland,OECD Member state,High post-mat,10,Yes,High,Presidential democ,1,20,66,75.9,NA,288,0.4,<20%,39.79,37.66183853,25,28.5,29,29,1971,After 1944,1,100,Switzerland
145,Syria,35.8,Authoritarian,163,1.74,77.21,72.31,79.6,400400,35.2,61,3.8,2.94,6.389,Asia,Muslim,4.9,1.6,3.4,0.589,22.5,104.5,22.5,55.7,0.687,103,217,74.69,29.8,France,NA,NA,10.5,10%,No,0,No,No,single member,37,33.09692688,NA,NA,1,Not member,1,1,0.539900005,High,Medium,59.2,21,20,87,80.2,20,64.7,63.3,25,54,49.4,Low,94.2,0.1224,Low,Middle,Low,Mid,Low,4440,2,NA,NA,NA,Low GDP,1946,Yes,syrian arab republic,Not member,NA,-7,No,NA,Dictatorship,0,NA,12156,17.3,NA,41,1.5,NA,NA,58.00120544,NA,NA,NA,12,1949,After 1944,0,0,Syria
146,Taiwan,34.2,Part Democ,35,7.65,81.36,75.5,96.1,276800,15.6,73.4,10.9,1.15,0,Asia,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,78.32,33.9,Other,49.19781982,NA,58.3,Approx 60%,NA,10,Yes,NA,NA,8,70.21276596,1-3 parties,NA,1,Not member,6.5,11,0.274399996,Low,Medium,83,57,50,75.9,90.5,65,47.7,79.3,70,85.8,70.4,High,711,NA,NA,NA,NA,NA,NA,30881,3,NA,NA,NA,NA,1991,No,taiwan,Not member,Low post-mat,10,No,Low,NA,NA,27.89999962,NA,NA,NA,NA,NA,<20%,56.8,72.47547913,NA,NA,NA,NA,NA,NA,1,100,Taiwan
147,Tajikistan,33.6,Authoritarian,156,2.37,69.25,62.97,99.5,221,33.9,62.7,3.4,2.89,7.778,Asia,Muslim,3.5,1.1,NA,0.58,20.7,104.2,7.1,26.3,0.568,65,218,66.03,NA,Soviet Union,NA,Legislature is elected but executive is appointed,63,Approx 60%,No,1,No,No,single member,2,17.49408938,NA,NA,1,Not member,2.5,3,0.510699987,High,Medium,57.4,20,40,88.9,78,25,54.4,58.4,25,82.5,53,MidLow,13,0.0193,Low,Low,Low,Low,Low,1906,1,NA,34.7,32.6,Low GDP,1964,Yes,tajikistan,Not member,NA,-3,No,NA,Dictatorship,0,NA,19900,8.8,53.5,372,49.6,NA,NA,75.68360901,NA,NA,NA,19,1924,1944 or before,0,0,Tajikistan
148,Tanzania,34.6,Hybrid,86,5.77,54.42,51.34,69.4,0,42,55.1,2.9,4.16,1.667,Africa,Other Christian,6.8,3.5,1.1,0.398,17.5,101.9,45,26.4,NA,NA,219,52.85,23.3,UK,78.85262266,NA,40.8,Approx 40%,No,2,No,No,single member,0,34.51536666,NA,NA,1,Not member,4.5,7,0.735300004,High,High,45.5,30,50,80.3,82.6,65,58.4,70.8,30,70.5,58.3,MidLow,53.7,0.0267,Low,Low,Low,Low,Low,1263,1,NA,38.2,34.6,Low GDP,1238,No,tanzania,Not member,NA,-1,No,NA,Dictatorship,0,17.39999962,1200,1.2,35.7,0,0.1,>50%,NA,47.97369003,NA,NA,NA,NA,1959,After 1944,0,0,Tanzania
149,Thailand,42.5,Hybrid,93,5.39,76.08,71.24,92.6,380000,19.9,70.9,9.2,1.66,3.056,Asia,Buddhist,4.9,2.7,1.5,0.654,33.2,104.6,68.1,34,0.586,69,220,73.6,42.3,none,NA,Legislature and executive are locally elected,58.3,Approx 60%,Yes,7,Yes,Yes,>1 to 5 members,8,53.19148939,6-11 parties,6-11 parties,3,Not member,5.5,5,0.63380003,High,High,70.7,35,70,74.7,89.8,40,73.6,66.4,45,75.9,64.1,MidHi,519,0.206,High,Middle,Low,Mid,Low,7703,2,Low,43.2,42,High GDP,1960,No,thailand,Not member,NA,7,No,NA,Parliamentary democ,1,3.099999905,600,23.9,NA,28,0.7,NA,NA,57.95606232,7.2,11.7,15.8,15.8,1932,1944 or before,0,100,Thailand
150,Timor-Leste,31.9,Part Democ,46,7.24,70.47,65.54,58.6,96270,33.8,62.5,3.6,3.13,0.833,Asia,Catholic,7.1,11.5,4.7,0.502,17.4,104.7,1.2,28.1,NA,NA,71,67.95,NA,NA,NA,No local elections,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA,NA,NA,38.5,38.5,NA,NA,1,NA,Timor-Leste
151,Togo,34.4,Authoritarian,129,3.45,65.3,60.19,60.9,0,40.9,56,3.1,4.69,0,Africa,Other,3.7,1.5,1.9,0.428,19.8,100.6,6.8,43.4,0.731,115,221,62.71,NA,France,NA,Legislature and executive are locally elected,40.8,Approx 40%,No,1,No,No,single member,7,18.91253057,NA,NA,1,Not member,2.5,4,0.709900022,High,High,36.8,27,30,56.2,86,25,43.3,74.5,30,62.8,47.1,Low,5.4,0.0291,Low,Low,Low,Low,Low,829,1,NA,NA,NA,Low GDP,1970,No,togo,Not member,NA,-2,No,NA,Dictatorship,0,NA,250,5.4,NA,44,9.8,NA,NA,70.49268341,NA,NA,NA,11.1,1945,After 1944,0,0,Togo
152,Trinidad and Tobago,40.3,Part Democ,48,6.99,74.3,68.51,98.6,151600,19.5,72.1,8.4,1.72,0.833,Latin America/Caribbean,Catholic,4.2,2.7,NA,0.736,30.8,103.1,1.3,13.9,0.473,48,224,71.37,26.4,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,17,NA,82,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Trinidad and Tobago
153,Tunisia,40.8,Part Democ,70,6.31,77.17,73,74.3,91380,23.2,69.3,7.5,2.03,8.611,Africa,Muslim,7.2,3,1.3,0.683,29.1,106.7,10.4,67.3,0.515,56,225,75.01,49.5,France,NA,Legislature and executive are locally elected,10.5,10%,No,NA,No,No,>1 to 5 members,13,61.93853372,NA,NA,2,Not member,2.5,2,0.0394,Low,Low,80.2,44,30,74.4,78.5,35,67.4,76.5,50,53.5,58.9,MidLow,82.6,0.2149,High,Middle,Low,Mid,Low,7996,2,NA,39.8,39.8,High GDP,1923,Yes,tunisia,Not member,NA,NA,No,NA,Dictatorship,0,9.800000191,973,27.1,NA,191,4.9,NA,NA,61.82845306,NA,NA,NA,26.7,1957,After 1944,1,0,Tunisia
154,Turkey,41.2,Hybrid,98,5.12,74.49,70.61,87.4,52980,26.6,67.1,6.3,2.15,4.444,Asia,Muslim,2.9,3.4,2.2,0.679,28.3,104.1,75.7,69.7,0.621,77,226,72.5,48.1,Ottoman,57.07057443,Legislature and executive are locally elected,10.5,10%,Yes,9,Yes,Yes,6 or more members,17,41.84397156,4-5 parties,4-5 parties,2,Not member,5,8,0.319999993,Low,Medium,68.9,46,50,78.1,82.9,65,41.1,70,50,86.4,63.8,MidHi,1000,0.2638,High,Middle,High,High,High,13920,2,Low,40,43.6,High GDP,1991,Yes,turkey,OECD Member state,Moderate post-mat,9,Yes,Low,Parliamentary democ,1,22,916,34.4,27,18,0.2,>50%,73.99,79.4214859,4.4,9.1,14.2,14.2,1930,1944 or before,0,100,Turkey
155,Turkmenistan,40.8,Authoritarian,160,1.83,71.63,65.57,98.8,197700,27.5,68.4,4.1,2.16,8.611,Asia,Muslim,NA,1.4,NA,0.669,24.7,103.2,5.2,49.5,NA,NA,227,68.52,NA,Soviet Union,NA,No local elections,63,Approx 60%,No,0,No,No,single member,9,11.82033029,NA,NA,NA,Not member,1,0,0.391799986,Low,Medium,30,18,10,90.2,94.7,NA,30,62.8,10,79.2,42.5,Low,33.4,0.1601,Low,Middle,Low,Mid,Low,6641,2,NA,40.8,40.8,Low GDP,1978,Yes,turkmenistan,Not member,NA,-9,No,NA,Dictatorship,0,NA,1150,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,1927,1944 or before,0,0,Turkmenistan
156,Uganda,42.6,Hybrid,96,5.22,54.33,52.17,66.8,0,49.9,48.1,2.1,6.69,3.889,Africa,Catholic,3.8,1.6,2.3,0.422,15.6,101.7,33.8,13.3,0.715,109,230,53.24,20.4,UK,70.74731685,NA,40.8,Approx 40%,No,1,No,No,single member,7,36.87943271,NA,NA,NA,Not member,3.5,5,0.930199981,High,High,57,26,60,80.5,85.5,45,88.1,78.1,30,72.1,62.2,MidHi,36.9,0.0236,Low,Low,Low,Low,Low,1165,1,NA,43,45.7,Low GDP,1991,No,uganda,Not member,NA,-1,No,NA,Dictatorship,0,3.900000095,6150,7.9,31.1,23,5.1,>50%,NA,56.66106796,NA,NA,NA,35,1962,After 1944,0,0,Uganda
157,Ukraine,27.6,Hybrid,92,5.42,74.75,62.79,99.4,99930,13.7,70.8,15.5,1.28,2.222,Europe,Orthodox Christian,5.3,4,2.7,0.71,39.5,105.5,45.4,68.8,0.463,44,231,68.58,38.4,Soviet Union,36.02262716,NA,63,Approx 60%,Yes,6,Yes,Yes,NA,9,29.07801396,6-11 parties,6-11 parties,3,Not member,4.5,9,0.473699987,High,Medium,38.7,25,30,77.9,41.1,20,57.7,61.2,30,82.6,46.4,Low,336.4,0.0851,Low,Middle,Low,Mid,Low,7271,2,Low,29,28.1,Low GDP,1971,No,ukraine,Not member,Low post-mat,6,No,Low,NA,0,NA,1294,10.5,19.5,125,3.2,<20%,62.73,66.60070038,5.3,8.2,9.4,9.4,1919,1944 or before,0,100,Ukraine
158,United Arab Emirates,NA,Authoritarian,152,2.64,79.22,73.94,77.9,2798000,20.4,78.7,0.9,2.4,5.556,Asia,Muslim,0.9,1.9,NA,0.815,31.7,105.3,4.7,84.1,0.464,45,232,76.51,44.6,NA,NA,No local elections,NA,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,United Arab Emirates
159,United Kingdom,36,Full Democ,16,8.31,82.25,77.95,NA,1502000,17.3,66.2,16.5,1.91,2.222,Europe,Other Christian,5.6,6.9,2.5,0.849,39.9,105,61.9,79.6,0.355,32,233,80.05,76.5,UK,56.46776002,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,single member,120,94.56264708,1-3 parties,1-3 parties,1,EU Member state,7,12,0.121100001,Low,Low,94.9,77,80,61.8,41.9,90,72.8,73.7,85,87.5,76.5,High,2200,2.6444,High,High,High,High,High,35445,3,High,36,36,High GDP,1066,No,britain,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,26.20000076,195,76,NA,128,0.3,<20%,58.32,72.37265778,18.1,19.5,22.5,22.5,1918,1944 or before,1,100,United Kingdom
160,United States,40.8,Full Democ,19,8.11,80.93,75.92,99,9056000,20.1,66.8,13.1,2.06,NA,USA/Canada,NA,5.5,7.1,4.3,0.902,36.6,105.1,317.6,82.3,0.4,37,234,78.37,58.9,UK,61.78520781,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,single member,191,86.76123044,1-3 parties,1-3 parties,1,Not member,7,12,0.490099996,High,Medium,91.3,73,70,67.5,58,75,94.8,78.1,85,86.9,78,High,14200,3.6006,High,High,High,High,High,46716,3,High,40.8,40.8,High GDP,1776,No,united states,OECD Member state,Moderate post-mat,10,No,High,Presidential democ,1,12.69999981,87,75.9,NA,10,0,>50%,37.32,46.97414398,15,16.8,17.8,17.8,1920,1944 or before,1,100,United States
161,Uruguay,47.1,Full Democ,17,8.17,79.46,73.07,98,40110,22.2,64.1,13.7,1.89,0,Latin America/Caribbean,Catholic,2.8,5.9,1.3,0.765,33.7,104.7,3.4,92.5,0.508,54,235,76.21,56,Other,43.41772152,NA,87.5,Approx 90%,Yes,10,Yes,Yes,>1 to 5 members,15,58.62884138,4-5 parties,4-5 parties,2,Not member,7,12,0.250400007,Low,Low,63.1,69,30,81.7,72.6,75,76.2,72.3,75,82.8,69.8,High,42.5,0.3609,High,Middle,High,High,High,12734,2,Medium,44.6,44.9,High GDP,1991,No,uruguay,Not member,High post-mat,10,Yes,Moderate,Presidential democ,1,11.60000038,282,40.2,NA,32,0.3,20-50%,93.14,91.87390137,12.1,12.1,12.1,12.1,1932,1944 or before,1,100,Uruguay
162,Uzbekistan,36.7,Authoritarian,154,2.45,75.51,69.48,99.3,70910,26.5,68.8,4.7,1.89,8.611,Asia,Muslim,NA,2.3,NA,0.617,24.5,103.9,27.8,36.3,NA,NA,236,72.51,9,Soviet Union,NA,Legislature is elected but executive is appointed,63,Approx 60%,No,0,No,No,single member,9,20.56737532,NA,NA,2,Not member,1.5,0,0.412499994,Low,Medium,67.8,18,10,88.4,72.6,10,61.1,62.4,20,65.1,47.5,Low,72.5,0.0314,Low,Low,Low,Low,Low,2656,1,NA,26.8,36.8,Low GDP,1980,Yes,uzbekistan,Not member,NA,-9,No,NA,Dictatorship,0,NA,1938,9,27.2,NA,NA,NA,NA,87.17856598,NA,NA,NA,22,1938,1944 or before,0,0,Uzbekistan
163,Venezuela,43.4,Hybrid,100,5.07,77.17,70.84,93,2472000,29.5,65.1,5.4,2.42,3.889,Latin America/Caribbean,Catholic,3.7,2.7,1.4,0.696,26.1,104.5,29,93.4,0.561,64,238,73.93,25.5,Spain,21.37509274,Legislature and executive are locally elected,87.5,Approx 90%,Yes,1,Yes,Yes,NA,31,19.62174975,NA,NA,NA,Not member,4.5,6,0.496600002,High,Medium,50.3,19,20,74,61.8,5,36.2,47.7,NA,57.2,37.1,Low,357.8,0.376,High,Middle,High,High,High,12804,2,Low,49.1,48.2,High GDP,1945,No,venezuela,Not member,Moderate post-mat,-3,No,Low,Presidential democ,1,14.89999962,776,25.7,NA,5,0,>50%,NA,49.23522568,9.7,18.6,17,17,1946,After 1944,0,100,Venezuela
164,Vietnam,37.8,Authoritarian,130,3.41,74.92,69.72,90.3,300600,25.2,69.3,5.5,1.91,8.611,Asia,Buddhist,5.3,2.8,2.4,0.572,28.5,105.9,89,30.4,0.53,58,239,72.18,56.7,France,99.86241057,Legislature and executive are locally elected,58.3,Approx 60%,No,0,No,No,>1 to 5 members,46,40.18912504,NA,NA,NA,Not member,1.5,2,0.238299996,Low,Low,60.7,27,30,76.1,73.4,20,68.4,58.1,15,68.9,49.8,Low,240.1,0.0436,Low,Low,Low,Low,Low,2785,1,NA,36.1,34.4,Low GDP,1962,No,viet nam,Not member,NA,-7,No,NA,Dictatorship,0,NA,10286,24.2,28.9,84,7.9,<20%,NA,NA,NA,NA,NA,24.4,1946,After 1944,0,0,Vietnam
165,Yemen,37.7,Authoritarian,149,2.79,65.87,61.7,50.2,288400,43,54.4,2.6,4.63,6.944,Asia,Muslim,5.2,1.5,4.2,0.439,17.8,103.9,24.3,31.8,0.853,138,244,63.74,39.1,UK,NA,Legislature is elected but executive is appointed,10.5,10%,No,1,No,No,single member,7,26.00472802,NA,NA,1,Not member,3,4,NA,NA,NA,74.4,23,30,83.2,51.3,45,65.4,65.1,30,76.1,54.4,MidLow,55.3,0.0537,Low,Low,Low,Low,Low,2400,1,Low,33.4,33.4,Low GDP,1991,Yes,yemen,Not member,NA,-2,No,NA,Dictatorship,0,NA,2367,1.6,NA,62,5.3,NA,NA,36.81611633,NA,NA,NA,0.3,1967,After 1944,0,0,Yemen
166,Zambia,50.7,Part Democ,67,6.39,53.63,51.13,80.6,159.5,46.7,50.8,2.5,5.98,0,Africa,Other Christian,1.4,3.6,2,0.395,16.8,101.4,13.3,35.7,0.752,124,245,52.36,24.1,UK,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,7,Yes,No,single member,4,24.58628825,1-3 parties,NA,1,Not member,4,8,0.780799985,High,High,66.4,28,50,72.4,82.6,50,57,63.3,30,79.9,58,MidLow,17.1,0.0361,Low,Low,Low,Low,Low,1356,1,NA,52.6,50.8,Low GDP,1980,No,zambia,Not member,NA,7,No,NA,Presidential democ,0,12.5,3400,5.5,68,5,0.5,NA,55.74,36.10775757,12.7,15.2,NA,11.5,1962,After 1944,1,100,Zambia
